
"Title","Body"
"KFC's Claims That Fried Chicken Is a Way to Eat Better Don't Fly ","...two Original Recipe fried chicken breasts, is better for a consumer’s health...” The ad then states that “Two KFC breasts have less fat than a BK ... "
"Marketers of Bloussant Breast Enhancement Product To Stop Making False and Unsubstantiated Claims ","Marketers of Bloussant Breast Enhancement Product To Stop Making False and Unsubstantiated...three products - Bloussant, sold for breast enhancement ... "
"FTC Announces Hispanic Law Enforcement and Outreach Initiative Designed to Stop Deceptive Advertising and Other Scams Aimed at Hispanic Consumers ","...""Iman De Grasa""; and ""Total Bust,"" a breast augmentation dietary supplement. According...can increase breast size and change the appearance of users' ... "
"Developer of Purported Breast Enhancement Product Settles FTC Charges ","Developer of Purported Breast Enhancement Product Settles FTC Charges For Release...Ernest, Ph.D., developer of a so-called breast enhancement product ... "
"Wellquest International, Inc.; Eddie Mishan; Tony Hoffman Productions, Inc. (timeline item) - 2003-07-10 04:00:00 ","PRESS RELEASE: Marketers of Bloussant Breast Enhancement Product To Stop Making "
"Marketers of Seasilver Agree to Pay $4.5 Million to Settle FTC Charges ","...myeloma; non-Hodgkin’s lymphoma; lung, breast, and prostate cancer; brain tumors; "
"Marketers of Purported ""Breast Enhancement"" System Settle FTC Charges ","Marketers of Purported ""Breast Enhancement"" System Settle FTC Charges For Release...company that marketed a so-called breast enhancement product, ""The ... "
"Ernest, J. Michael (timeline item) - 2003-01-22 05:00:00 ","PRESS RELEASE: Developer of Purported Breast Enhancement Product Settles FTC Charges "
"Vital Dynamics, Inc. d/b/a ISIS, et al. (timeline item) - 2002-12-26 05:00:00 ","PRESS RELEASE: Marketers of Purported ""Breast Enhancement"" System Settle FTC Charges "
"Bristol-Myers Squibb Company, In the Matter of ","...paclitaxel) – used to treat ovarian, breast, and lung cancers; Platinol (containing "
"FTC, Canada, and Mexico Officials Crack Down on Foreign Companies That Offer Bogus Cancer Treatment ","...several types of cancers including breast, lung, brain, and liver cancers. The "
"FTC Charges Bristol-Myers Squibb with Pattern of Abusing Government Processes to Stifle Generic Drug Competition ","...paclitaxel, is used to treat ovarian, breast, and lung cancers, as well as AIDS-related "
"Pfizer Inc., and Warner-Lambert Company ","...head and neck, non-small cell lung, breast, ovarian, pancreas and colorectal cancers "
"Resolving Competitive Concerns, FTC Agreement Clears $182 Billion Merger of SmithKline Beecham And Glaxo Wellcome ","...developing a drug that would treat ovarian, breast, non-small cell lung and other solid "
"FTC Order Clears Way for $90 Billion Merger of Pfizer Inc. and Warner-Lambert Company ","...head and neck, non-small-cell lung, breast, ovarian, pancreas and colorectal cancers "
"Androgen Supplement Marketers to Settle FTC Charges ","...at increased risk for prostate or breast cancer. ""Teenagers and athletes who...contains steroid hormones that may cause breast enlargement, testicle ... "
"0004001 Informal Interpretation ","...various superior trials, e.g., ""meatier"" breasts and enhanced egg production capacities "
"FTC Hits Internet Health Fraud in Continuation of Operation Cure.All: ","... leukemia, lymphoma. Cures lupus, breast, prostate cancer.""Hyperlinks can be "
"Voluntary Guidelines for Providers of Weight Loss Products or Services ","Children and adolescents, pregnant or breast feeding women, and people with significant "
"FTC Settlement Stresses Health Risks of Tanning ","...prevents or reduces the risk of colon and breast cancer and, for the general population "
